nom,titre,id
ApexEComm,Application et tutoriel Oracle Apex pour un site d'e-commerce,1
Archeologie,Groupe de recherche Chasséen Méridional,2
Architekt,Architekt,3
BDM NoSQL,Développement d’un logiciel de conception d’une base de données multidimensionnelles,4
Carsat,Questionnaire client sur page web et traitement des données,5
E-ICGD,Environnement d'intégration continue de génération de documentation,6
GESDEP,Finalisation et déploiement de l'application de gestion des déplacements des personnels,7
PrestaShop,Application et tutoriel sur Prestashop (logiciel e-commerce gratuit ),8
Prodif,Refactoring de l'application Java PRODIF,9
ReconfMI,Développement interface graphique,10
Refactor,Refactoring de site web statique en site web dynamique,11
RegExp,Application pédagogique d'apprentissage des expressions régulières par l'expérience,12
SimulMI,Développement de simulateur,13
SoftVolley,SoftVolley : explication de stratégies de jeu au Volley-ball,14
SWAML,"Site web association ""Marie Louise""",15
